Time(sec)	Force(kgf)	LGauge(mm)	Strain	Stress(MPa)	Stroke(mm)	TC3(C)	PTemp
0	-133.56	7.85E-05	1.76E-06	-16.665	0.15278	43.534	30.001
0.1	-132.81	-2.33E-05	-2.58E-06	-16.592	0.14907	43.573	30.336
0.2	-132.91	-9.31E-05	8.37E-08	-16.608	0.15011	43.732	30.809
0.3	-132.55	-0.00032008	-1.91E-05	-16.551	0.15076	43.759	31.287
0.4	-132.74	-0.00012844	-4.44E-06	-16.568	0.15169	43.775	31.766
0.5	-132.93	6.31E-06	3.51E-06	-16.6	0.1508	43.753	32.244
0.6	-132.84	1.77E-05	8.11E-06	-16.587	0.14906	43.588	32.723
0.7	-132.52	-7.02E-05	1.23E-06	-16.55	0.15026	43.567	33.201
0.8	-132.56	2.25E-05	6.17E-06	-16.54	0.15111	43.688	33.68
0.9	-132.63	-3.24E-06	7.37E-06	-16.557	0.15101	43.696	34.159
1	-132.37	-2.90E-05	1.15E-06	-16.519	0.15044	43.617	34.637
1.1	-132.55	5.74E-05	5.34E-06	-16.54	0.15208	43.692	35.116
1.2	-132.51	-0.00012984	-7.89E-06	-16.543	0.15015	43.564	35.594
1.3	-132.42	-2.54E-05	-6.44E-07	-16.531	0.1507	43.45	36.073
1.4	-132.47	-5.35E-05	-2.57E-06	-16.535	0.15036	43.407	36.551
1.5	-132.4	-8.17E-06	1.73E-06	-16.527	0.15069	43.459	37.03
1.6	-132.39	1.52E-05	7.67E-06	-16.522	0.15181	43.461	37.509
1.7	-132.3	-1.86E-05	3.89E-06	-16.52	0.15194	43.311	37.987
1.8	-132.44	-5.06E-05	-1.54E-06	-16.53	0.15277	43.479	38.466
1.9	-132.3	-0.00010942	-2.51E-07	-16.515	0.15254	43.525	38.944
2	-132.11	-3.35E-05	5.70E-06	-16.499	0.15526	43.496	39.423
2.1	-132.09	-0.00011433	-1.69E-06	-16.504	0.15068	43.585	39.901
2.2	-132.3	-0.0001772	-7.19E-06	-16.525	0.15265	43.331	40.38
2.3	-132.2	-0.00010296	-4.17E-06	-16.497	0.15304	43.413	40.858
2.4	-131.89	-0.00015169	-8.35E-06	-16.477	0.15348	43.485	41.337
2.5	-132.3	-9.13E-05	-5.48E-06	-16.514	0.15256	43.4	41.816
2.6	-132.07	-0.00012046	-5.69E-06	-16.5	0.15236	43.343	42.294
2.7	-131.98	6.24E-05	8.30E-06	-16.478	0.15528	43.261	42.773
2.8	-131.73	-1.58E-05	9.48E-07	-16.446	0.1538	43.211	43.251
2.9	-132.05	2.16E-05	2.78E-06	-16.492	0.15439	43.329	43.73
3	-132.01	-0.00038907	-2.39E-05	-16.494	0.15388	43.347	44.208
3.1	-131.89	-0.00099794	-6.30E-05	-16.471	0.15121	43.178	44.687
3.2	-132.67	-0.0011853	-7.42E-05	-16.563	0.15357	43.161	45.166
3.3	-133.23	-0.00085621	-5.36E-05	-16.624	0.15272	43.334	45.644
3.4	-133.77	-0.00054487	-3.20E-05	-16.701	0.15253	43.36	46.123
3.5	-134.37	-0.00030608	-1.64E-05	-16.789	0.15174	43.569	46.601
3.6	-135.54	4.51E-05	3.42E-06	-16.931	0.15204	43.573	47.08
3.7	-136.71	0.00040222	2.98E-05	-17.054	0.15252	43.559	47.558
3.8	-138.22	0.0007681	4.98E-05	-17.255	0.15137	43.611	48.037
3.9	-139.9	0.0010223	7.18E-05	-17.466	0.15224	43.734	48.516
4	-141.42	0.0017725	0.00011955	-17.66	0.15335	43.711	48.994
4.1	-142.93	0.0020366	0.00013872	-17.836	0.15166	44.012	49.473
4.2	-144.33	0.0020994	0.00013676	-18.028	0.15246	44.148	49.951
4.3	-146.19	0.0025398	0.0001688	-18.265	0.15202	44.072	50.43
4.4	-147.87	0.0026641	0.00018037	-18.466	0.15346	44.168	50.91
4.5	-149.14	0.0030066	0.00020184	-18.619	0.15185	44.571	51.387
4.6	-150.73	0.0031499	0.00021315	-18.825	0.15151	44.752	51.866
4.7	-152.16	0.0034975	0.00023873	-18.997	0.15266	44.998	52.344
4.8	-153.8	0.0035059	0.00023644	-19.209	0.15171	45.314	52.823
4.9	-154.94	0.0042259	0.00028441	-19.364	0.15353	45.593	53.301
5	-156.75	0.0041943	0.00028082	-19.577	0.15275	45.831	53.78
5.1	-157.96	0.0047784	0.00032407	-19.74	0.15269	46.231	54.258
5.2	-159.24	0.0052473	0.00035911	-19.893	0.15393	46.723	54.737
5.29999	-161.12	0.0052388	0.00035115	-20.125	0.15295	47.114	55.216
5.39999	-162.35	0.00566	0.00038195	-20.289	0.15436	47.62	55.694
5.49999	-163.19	0.0059306	0.00039753	-20.377	0.15384	48.152	56.173
5.59999	-164.16	0.0067191	0.00045693	-20.517	0.15145	48.635	56.651
5.69999	-165.47	0.0070648	0.00047806	-20.672	0.15212	49.228	57.13
5.79999	-166.4	0.0074157	0.00050113	-20.782	0.15171	49.823	57.608
5.89999	-166.91	0.0076695	0.00051457	-20.849	0.15452	50.477	58.087
5.99999	-167.85	0.0081681	0.00054769	-20.969	0.15227	51.187	58.566
6.09999	-168.58	0.0087949	0.00059162	-21.062	0.15258	51.901	59.044
6.19999	-169.18	0.0089235	0.00059729	-21.149	0.15189	52.612	59.523
6.29999	-169.84	0.009417	0.00063239	-21.225	0.15176	53.297	60.001
6.39999	-170.61	0.010088	0.0006763	-21.31	0.15306	54.075	60.48
6.49999	-170.68	0.010475	0.00070191	-21.327	0.15364	54.886	60.958
6.59999	-170.67	0.010938	0.00073345	-21.332	0.15334	55.663	61.437
6.69999	-171.08	0.011202	0.00075373	-21.386	0.15191	56.519	61.916
6.79999	-171.51	0.01164	0.00077792	-21.427	0.15304	57.44	62.394
6.89999	-171.45	0.012311	0.00082489	-21.42	0.15418	58.278	62.873
6.99999	-171.56	0.012929	0.00086968	-21.44	0.15274	59.233	63.351
7.09999	-171.89	0.013307	0.00089158	-21.472	0.15426	60.088	63.83
7.19999	-171.97	0.013696	0.00091884	-21.495	0.15398	60.908	64.309
7.29999	-171.95	0.01441	0.00096666	-21.498	0.15352	61.875	64.787
7.39999	-172.25	0.014745	0.0009882	-21.534	0.15461	62.773	65.266
7.49999	-172.37	0.015013	0.0010017	-21.538	0.15385	63.692	65.744
7.59999	-172.5	0.015431	0.0010286	-21.562	0.15288	64.59	66.223
7.69999	-172.25	0.015392	0.0010267	-21.541	0.15398	65.476	66.701
7.79999	-172.73	0.015763	0.0010564	-21.595	0.1561	66.39	67.18
7.89999	-172.89	0.016423	0.001101	-21.614	0.15618	67.257	67.659
7.99999	-172.76	0.016288	0.0010918	-21.596	0.15512	68.105	68.137
8.09999	-172.94	0.016712	0.0011192	-21.633	0.15254	69.016	68.616
8.19999	-173.15	0.016843	0.0011266	-21.652	0.15393	69.894	69.094
8.29999	-173	0.017032	0.0011416	-21.634	0.15265	70.756	69.573
8.39999	-173.15	0.016954	0.0011326	-21.64	0.15505	71.564	70.051
8.49999	-173.28	0.01716	0.0011448	-21.661	0.15524	72.464	70.53
8.59999	-173.32	0.017484	0.0011663	-21.672	0.15268	73.273	71.008
8.69999	-173.27	0.017422	0.0011678	-21.667	0.15247	74.1	71.487
8.79999	-173.43	0.017159	0.0011499	-21.677	0.15657	74.755	71.966
8.89999	-173.65	0.017272	0.0011566	-21.695	0.15257	75.539	72.444
8.99999	-173.64	0.017085	0.0011437	-21.707	0.1534	76.356	72.923
9.09999	-173.21	0.017061	0.0011401	-21.66	0.1552	77.146	73.401
9.19999	-173.13	0.016677	0.0011129	-21.633	0.15515	77.817	73.88
9.29999	-172.91	0.016498	0.0011016	-21.62	0.15162	78.324	74.358
9.39999	-172.7	0.016392	0.001097	-21.585	0.15398	79.013	74.837
9.49999	-172.59	0.016324	0.0010885	-21.594	0.15264	79.673	75.316
9.59999	-172.26	0.016073	0.0010693	-21.535	0.15208	80.264	75.794
9.69999	-171.77	0.016121	0.0010784	-21.463	0.15191	80.837	76.273
9.79999	-171.22	0.015802	0.0010605	-21.399	0.15751	81.534	76.754
9.89999	-170.97	0.01593	0.0010619	-21.378	0.15434	82.043	77.23
9.99999	-170.37	0.015652	0.0010455	-21.303	0.15233	82.509	77.708
10.09999	-169.83	0.015214	0.0010119	-21.233	0.15366	83.034	78.187
10.19999	-169.43	0.015301	0.0010193	-21.171	0.15397	83.473	78.666
10.29999	-168.86	0.015319	0.0010178	-21.102	0.15169	83.885	79.144
10.39999	-168.4	0.015311	0.0010244	-21.059	0.15523	84.327	79.623
10.49999	-168.1	0.01511	0.0010058	-21.02	0.15425	84.728	80.101
10.59999	-167.93	0.015096	0.0010042	-20.988	0.15331	84.998	80.58
10.69999	-167.52	0.015219	0.0010137	-20.945	0.15396	85.359	81.058
10.79999	-167.21	0.015104	0.0010087	-20.908	0.15395	85.604	81.537
10.89999	-166.95	0.015183	0.0010114	-20.868	0.15522	85.982	82.016
10.99999	-166.98	0.015225	0.0010166	-20.865	0.15451	86.175	82.494
11.09999	-166.81	0.015114	0.0010104	-20.849	0.15408	86.492	82.973
11.19999	-166.55	0.015084	0.001008	-20.821	0.15515	86.8	83.451
11.29999	-166.77	0.014861	0.00098874	-20.841	0.15415	86.922	83.93
11.39999	-166.54	0.015099	0.0010087	-20.82	0.1524	87.223	84.408
11.49999	-166.85	0.015187	0.001017	-20.865	0.15304	87.432	84.887
11.59999	-167.21	0.015453	0.0010342	-20.902	0.15317	87.723	85.366
11.69999	-167.51	0.015551	0.0010402	-20.939	0.15498	88.057	85.844
11.79999	-167.95	0.015634	0.0010479	-20.989	0.15634	88.302	86.323
11.89999	-168.2	0.015481	0.0010345	-21.024	0.15589	88.563	86.801
11.99999	-168.82	0.015522	0.001034	-21.105	0.15421	88.797	87.28
12.09999	-169.33	0.016052	0.0010685	-21.171	0.15408	89.001	87.758
12.19999	-169.96	0.016134	0.0010762	-21.237	0.15582	89.253	88.237
12.29999	-170.88	0.015937	0.0010639	-21.357	0.15473	89.447	88.716
12.39999	-171.53	0.016422	0.0011007	-21.442	0.15455	89.644	89.194
12.49999	-172.64	0.01666	0.0011148	-21.585	0.15367	89.929	89.673
12.59999	-173.28	0.01661	0.0011104	-21.663	0.15398	90.144	90.151
12.69999	-174.37	0.017157	0.0011458	-21.797	0.15332	90.393	90.63
12.79999	-174.94	0.01721	0.0011475	-21.88	0.15214	90.653	91.108
12.89999	-175.67	0.017356	0.0011578	-21.958	0.15412	90.845	91.587
12.99999	-176.5	0.01771	0.0011851	-22.084	0.15314	91.149	92.066
13.09999	-176.88	0.01801	0.0012035	-22.12	0.15444	91.477	92.544
13.19999	-175.99	0.018514	0.0012343	-22.01	0.15415	91.728	93.023
13.29999	-174.66	0.018884	0.0012591	-21.846	0.15454	92.029	93.501
13.39999	-175.01	0.019591	0.0013071	-21.887	0.15418	92.36	93.98
13.49999	-174.99	0.020098	0.0013422	-21.875	0.15451	92.69	94.458
13.59999	-174.84	0.020518	0.0013711	-21.863	0.15219	93.29	94.937
13.69999	-175.07	0.02105	0.0014041	-21.872	0.15344	93.623	95.416
13.79999	-175.3	0.021232	0.0014159	-21.912	0.15464	93.835	95.894
13.89999	-175.25	0.022168	0.0014748	-21.907	0.1547	94.202	96.373
13.99999	-175.34	0.022322	0.00149	-21.918	0.15235	94.615	96.851
14.09999	-175.63	0.023068	0.001538	-21.968	0.15354	95.004	97.33
14.19999	-175.48	0.023529	0.0015662	-21.934	0.1527	95.633	97.808
14.29999	-175.64	0.023977	0.0015963	-21.963	0.15408	96.134	98.287
14.39999	-176.02	0.024088	0.0016056	-22.006	0.15368	96.524	98.766
14.49999	-176.1	0.024822	0.0016516	-22.014	0.15287	97.018	99.244
14.59999	-176.16	0.025071	0.0016665	-22.018	0.15649	97.449	99.723
14.69999	-176.27	0.025617	0.001703	-22.049	0.15431	98.029	100.2
14.79999	-176.4	0.026038	0.0017363	-22.065	0.15446	98.63	100.68
14.89999	-176.49	0.026493	0.0017607	-22.086	0.15337	99.2	101.16
14.99999	-176.26	0.026915	0.0017907	-22.049	0.15544	99.665	101.64
15.09999	-176.79	0.02686	0.0017863	-22.106	0.15515	100.22	102.12
15.19999	-176.8	0.027242	0.0018128	-22.107	0.15343	100.82	102.6
15.29999	-176.64	0.027697	0.0018384	-22.098	0.15424	101.41	103.07
15.39999	-176.61	0.02811	0.0018685	-22.1	0.15302	102	103.55
15.49999	-177.04	0.028609	0.0019026	-22.153	0.15351	102.64	104.03
15.5059	-176.96	0.028698	0.0019069	-22.143	0.15361	102.69	104.06
15.6059	-176.82	0.029095	0.0019366	-22.131	0.1556	103.1	104.54
15.7059	-176.89	0.029151	0.0019391	-22.134	0.15473	103.78	105.02
15.8059	-177.03	0.029496	0.0019668	-22.15	0.15508	104.48	105.49
15.9059	-177.09	0.029697	0.0019772	-22.146	0.15365	105.08	105.97
16.0059	-176.99	0.029927	0.0019896	-22.145	0.15451	105.62	106.45
16.1059	-177.21	0.030558	0.0020303	-22.176	0.15519	106.24	106.93
16.2059	-177.27	0.031074	0.002065	-22.18	0.15276	106.87	107.41
16.3059	-177.07	0.030859	0.0020519	-22.164	0.15527	107.48	107.89
16.4059	-177.23	0.030725	0.0020512	-22.186	0.15397	108.08	108.37
16.5059	-177.59	0.030936	0.0020585	-22.216	0.15445	108.6	108.84
16.6059	-177.39	0.03142	0.0020884	-22.2	0.1539	109.35	109.32
16.7059	-177.27	0.031518	0.0021	-22.185	0.15491	110.01	109.8
16.8059	-177.57	0.031602	0.0021023	-22.223	0.15319	110.55	110.28
16.9059	-177.73	0.03216	0.0021422	-22.237	0.15397	111.17	110.76
17.0059	-177.57	0.032236	0.0021435	-22.233	0.15158	111.81	111.24
17.1059	-177.76	0.032368	0.0021539	-22.251	0.15637	112.27	111.72
17.2059	-177.96	0.032092	0.0021366	-22.275	0.15602	112.87	112.19
17.3059	-178.03	0.032768	0.0021809	-22.274	0.15393	113.41	112.67
17.4059	-177.81	0.032599	0.0021712	-22.243	0.15257	114.02	113.15
17.5059	-177.69	0.032954	0.002195	-22.232	0.15417	114.61	113.63
17.6059	-178	0.032632	0.0021737	-22.282	0.15477	115.24	114.11
17.7059	-177.73	0.032742	0.0021775	-22.251	0.15429	115.76	114.59
17.8059	-178.15	0.033092	0.0022	-22.309	0.15485	116.25	115.07
17.9059	-178.12	0.033077	0.0022026	-22.304	0.15588	116.81	115.54
18.0059	-178.1	0.032878	0.0021901	-22.285	0.15531	117.5	116.02
18.1059	-178.05	0.033154	0.0022059	-22.287	0.15549	118.13	116.5
