文件名,温度,速率
 zyw0803.d53 , 1200,10
 zyw0803.d52 , 1200,1
 zyw0803.d51 , 1200,0.1
 zyw0803.d49 , 1200,0.01
 zyw0803.d48 , 1200,0.001
 zyw0803.d54 , 1100,10
 zyw0803.d56 , 1100,1
 zyw0803.d57 , 1100,0.1
 zyw0803.d58 , 1100,0.01
 zyw0803.d59 , 1100,0.001
 zyw0803.d65 , 1000,10
 1000-1.txt , 1000,1
 zyw0803.d62 , 1000,0.1
 zyw0803.d61 , 1000,0.01
 zyw0803.d60 , 1000,0.001
 zyw0803.d66 , 900,10
 zyw0803.d67 , 900,1
 zyw0803.d68 , 900,0.1
 zyw0803.d70 , 900,0.01
 zyw0803.d71 , 900,0.001
 zyw0803.d72 , 800,10
 zyw0803.d73 , 800,1
 zyw0803.d74 , 800,0.1
 zyw0803.d77 , 800,0.01
 zyw0803.d78 , 800,0.001
 zyw0803.d79 , 700,10
 zyw0803.d80 , 700,1
 zyw0803.d82 , 700,0.1
 zyw0803.d83 , 700,0.01
 zyw0803.d84 , 700,0.001
